,01.03.2025 03:34:08,02.03.2025 03:31:05,03.03.2025 03:32:46,04.03.2025 03:32:04,05.03.2025 03:31:34,07.02.2025 19:33:44,08.02.2025 03:25:10,09.02.2025 03:27:10,10.02.2025 03:29:05,11.02.2025 03:27:26,12.02.2025 03:26:28,12.03.2025 03:32:27,13.02.2025 03:27:33,13.03.2025 03:33:48,14.02.2025 03:27:18,14.03.2025 03:33:33,15.02.2025 03:27:16,15.03.2025 03:30:58,16.02.2025 03:29:19,16.03.2025 03:34:28,17.02.2025 03:29:57,17.03.2025 03:35:03,18.02.2025 03:26:25,18.03.2025 03:34:26,19.02.2025 03:31:31,19.03.2025 03:34:16,20.02.2025 03:28:07,20.03.2025 03:32:58,21.02.2025 03:28:08,21.03.2025 03:33:50,22.02.2025 03:26:12,22.03.2025 03:35:58,23.02.2025 03:28:40,23.03.2025 03:37:05,24.02.2025 03:30:36,24.03.2025 03:38:29,25.02.2025 03:31:05,26.02.2025 03:31:11,27.02.2025 03:30:44,28.02.2025 03:30:44
28.03 - 04.04,,,,,,5146,5146,5146,5146,5205,5205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.04 - 18.04,5162,5162,5162,5221,5221,5162,5162,5162,5162,5162,5162,,5162,,5162,,5162,,5162,,5162,,5162,,,,,,5162,,5162,,5162,,5162,,5162,5162,5162,5162
19.04 - 26.04,4973,5008,5008,5008,5008,4783,4783,4783,4783,4783,4865,5304,4865,5713,4865,5738,5099,5738,5099,5738,5099,5738,5099,5738,5099,5288,4597,5738,4631,5738,4987,5739,4987,5789,4987,5739,4923,4923,4973,4973
03.05 - 10.05,5483,5483,5483,5483,5483,5350,5350,5350,5350,5313,5313,5542,5313,5542,5313,5542,5373,5542,5373,5542,5373,5542,5373,5602,5433,5862,5433,5862,5433,6042,5433,6126,5433,6078,5433,6078,5433,5433,5483,5483
10.05 - 17.05,5500,5500,5500,5500,5560,5190,5190,5190,5190,5190,5390,5679,5390,5679,5390,5679,5450,5679,5450,5679,5450,5679,5450,5679,5450,5599,5450,5599,5450,5599,5450,5600,5450,5600,5450,5600,5450,5450,5500,5500
17.05 - 24.05,5625,5625,5625,5625,5625,5571,5571,5630,5630,5630,5550,5625,5550,5625,5550,5625,5575,5625,5575,5660,5575,5660,5575,5480,5575,5600,5575,5660,5575,5839,5575,5840,5575,5898,5575,5898,5575,5575,5625,5625
24.05 - 31.05,5745,5745,5745,5839,5839,5490,5490,5490,5490,5550,5550,5805,5550,5955,5550,5955,5610,5955,5610,,5610,,5610,5929,5670,5929,5670,5929,5729,5989,5729,6048,5729,6048,5729,6048,5695,5695,5745,5745
31.05 - 07.06,5561,5561,5561,5561,5561,5391,5391,5391,5391,5451,5451,5621,5451,5621,5451,5621,5451,5621,5451,,5451,,5451,5680,5451,5655,5451,5655,5545,5655,5511,5656,5511,5656,5511,5656,5511,5511,5561,5561
07.06 - 14.06,6331,6331,6331,6331,6331,5844,5844,5844,5844,5844,5844,6331,5844,6331,5844,6331,6244,6331,6244,6331,6244,6331,6244,6331,6244,6331,6244,6331,6244,6331,6244,6332,6244,6332,6244,6332,6244,6244,6319,6331
14.06 - 21.06,5746,5746,5746,5746,5746,5697,5697,5697,5697,5840,5696,5806,5696,5806,5696,5806,5696,5806,5696,,5696,,5696,5806,5696,5806,,5806,5696,5806,5696,5806,5696,5806,5696,5806,5696,5696,5746,5746
