,07.02.2025 18:59:16,07.02.2025 19:23:40,07.02.2025 20:17:22,07.02.2025 21:05:41
14.02 - 21.02,4776,4776,4776,
28.03 - 04.04,5146,5146,5146,
11.04 - 18.04,5162,5162,5162,
19.04 - 26.04,4783,4783,4783,
03.05 - 10.05,5350,5350,5350,5243
10.05 - 17.05,5190,5190,5190,5085
17.05 - 24.05,5571,5571,5571,5268
24.05 - 31.05,5490,5490,5490,4985
31.05 - 07.06,5391,5391,5391,4987
07.06 - 14.06,5844,5844,5844,6082
14.06 - 21.06,5697,5697,5697,5933
21.06 - 28.06,5024,5024,5024,5120
28.06 - 05.07,5276,5276,5276,5564
05.07 - 12.07,5615,5615,5615,5498
12.07 - 19.07,5253,5253,5253,5247
19.07 - 26.07,5527,5527,5527,5418
26.07 - 02.08,5650,5650,5650,5535
02.08 - 09.08,5645,5645,5645,5631
09.08 - 16.08,5673,5673,5673,5861
16.08 - 23.08,5034,5034,5034,4930
23.08 - 30.08,5040,5040,5040,4937
30.08 - 06.09,5084,5084,5084,4833
06.09 - 13.09,4991,4991,4991,5087
13.09 - 20.09,5158,5158,5158,5305
20.09 - 27.09,5370,5370,5370,5361
27.09 - 04.10,5041,5041,5041,5190
