,07.02.2025 18:59:08
12.03 - 24.03,15426
02.04 - 14.04,16927
09.04 - 21.04,16927
16.04 - 28.04,17577
23.04 - 05.05,17827
30.04 - 12.05,18376
01.05 - 13.05,18576
07.05 - 19.05,18026
14.05 - 26.05,16876
21.05 - 02.06,17376
28.05 - 09.06,15897
04.06 - 16.06,17176
05.06 - 17.06,16157
11.06 - 23.06,15947
12.06 - 24.06,16057
18.06 - 30.06,16257
19.06 - 01.07,16257
25.06 - 07.07,17626
26.06 - 08.07,17126
02.07 - 14.07,16926
03.07 - 15.07,16476
09.07 - 21.07,17326
10.07 - 22.07,16276
16.07 - 28.07,17176
17.07 - 29.07,16797
23.07 - 04.08,16876
24.07 - 05.08,17376
30.07 - 11.08,16526
31.07 - 12.08,16226
06.08 - 18.08,16697
07.08 - 19.08,16247
13.08 - 25.08,17376
14.08 - 26.08,16447
20.08 - 01.09,16376
21.08 - 02.09,15926
28.08 - 09.09,16226
29.08 - 10.09,16776
03.09 - 15.09,17327
04.09 - 16.09,16447
10.09 - 22.09,16826
11.09 - 23.09,17576
17.09 - 29.09,17526
18.09 - 30.09,16557
24.09 - 06.10,16748
01.10 - 13.10,15957
08.10 - 20.10,15676
15.10 - 27.10,15476
22.10 - 03.11,15299
29.10 - 10.11,14350
